year,sex,age,suicides_no
2005,female,15-24 years,6130
2005,female,25-34 years,7120
2005,female,35-54 years,17773
2005,female,5-14 years,602
2005,female,55-74 years,13907
2005,female,75+ years,7591
2005,male,15-24 years,22322
2005,male,25-34 years,31116
2005,male,35-54 years,72266
2005,male,5-14 years,1253
2005,male,55-74 years,43400
2005,male,75+ years,15142
2006,female,15-24 years,6132
2006,female,25-34 years,6919
2006,female,35-54 years,17945
2006,female,5-14 years,654
2006,female,55-74 years,13817
2006,female,75+ years,7549
2006,male,15-24 years,22515
2006,male,25-34 years,30947
2006,male,35-54 years,70468
2006,male,5-14 years,1181
2006,male,55-74 years,43525
2006,male,75+ years,15548
2007,female,15-24 years,6110
2007,female,25-34 years,7413
2007,female,35-54 years,18281
2007,female,5-14 years,623
2007,female,55-74 years,14161
2007,female,75+ years,7702
2007,male,15-24 years,22285
2007,male,25-34 years,31245
2007,male,35-54 years,68751
2007,male,5-14 years,1147
2007,male,55-74 years,43372
2007,male,75+ years,16121
2008,female,15-24 years,6420
2008,female,25-34 years,7540
2008,female,35-54 years,18703
2008,female,5-14 years,680
2008,female,55-74 years,14064
2008,female,75+ years,7590
2008,male,15-24 years,22505
2008,male,25-34 years,30957
2008,male,35-54 years,69252
2008,male,5-14 years,1048
2008,male,55-74 years,44373
2008,male,75+ years,16236
2009,female,15-24 years,6574
2009,female,25-34 years,7756
2009,female,35-54 years,19056
2009,female,5-14 years,769
2009,female,55-74 years,14374
2009,female,75+ years,7360
2009,male,15-24 years,22615
2009,male,25-34 years,32377
2009,male,35-54 years,72651
2009,male,5-14 years,1149
2009,male,55-74 years,46234
2009,male,75+ years,16409
2010,female,15-24 years,6334
2010,female,25-34 years,7507
2010,female,35-54 years,18765
2010,female,5-14 years,701
2010,female,55-74 years,14473
2010,female,75+ years,7349
2010,male,15-24 years,21901
2010,male,25-34 years,31469
2010,male,35-54 years,69885
2010,male,5-14 years,1116
2010,male,55-74 years,45981
2010,male,75+ years,16762
2011,female,15-24 years,6660
2011,female,25-34 years,7572
2011,female,35-54 years,18594
2011,female,5-14 years,786
2011,female,55-74 years,14378
2011,female,75+ years,7478
2011,male,15-24 years,21929
2011,male,25-34 years,31015
2011,male,35-54 years,67875
2011,male,5-14 years,1181
2011,male,55-74 years,45493
2011,male,75+ years,17011
